week	section	topic	difficulty	type	Model Question	question	choice_a	choice_b	choice_c	choice_d	correct_letter	correct_answer	explanation
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Resveratrol	Medium	Multiple Choice		Why may many resveratrol creams be permitted even according to the stricter view?	Creams are always food	Creams are always made from kosher wine	Anything on the skin is automatically permitted	The resveratrol is often batel b'shishim	D	The resveratrol is often batel b'shishim	"Many creams contain only a tiny percentage of resveratrol, which can be nullified."
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Grapeseed Oil	Medium	Multiple Choice	y	Why is grapeseed oil not treated like ordinary grape seeds from stam yeinam?	The oil is viewed as a new product and remaining wine taste is eliminated	Grape seeds are never connected to wine	Oil is always kosher without supervision	Wine taste improves the oil	A	The oil is viewed as a new product and remaining wine taste is eliminated	The production process transforms the seeds and removes or destroys wine residue.
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Grapeseed Oil	Medium	Multiple Choice		"For cosmetic use, what is the practical conclusion about pure grapeseed oil?"	It is assur b'hanaah	It may be used without a hechsher for the stam yeinam concern	It is permitted only after twelve years	It is permitted only if mevushal	B	It may be used without a hechsher for the stam yeinam concern	"For external use, the stam yeinam concern is not considered a problem in today's production."
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Mevushal Wine	Medium	Multiple Choice	y	Jewish-owned mevushal wine was touched by a non-Jew. What is the basic halacha learned here?	It becomes forbidden to drink but not benefit	It becomes assur b'hanaah	It remains permitted	It is permitted only after six parts water	C	It remains permitted	Mevushal wine is not treated like ordinary wine touched by a non-Jew.
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Mevushal Wine	Medium	Multiple Choice	y	What is one central reason mevushal wine touched by a non-Jew is permitted?	It contains no grapes	It is always diluted six-to-one	It was already touched by a Jew	It would not be offered as libation	D	It would not be offered as libation	Mevushal wine is not the type of wine used for libation.
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Mevushal Wine	Hard	Multiple Choice	y	A non-Jew owns a bottle of kosher mevushal wine and offers to pour it for you. Which issue makes this more complex?	Some distinguish Jewish-owned mevushal wine from mevushal stam yeinam	Mevushal wine is always worse than raw wine	Mevushal wine becomes meat after cooking	A non-Jew may never touch sealed wine	A	Some distinguish Jewish-owned mevushal wine from mevushal stam yeinam	Some explanations permit Jewish-owned mevushal wine touched by a non-Jew but are stricter with wine owned by a non-Jew.
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Mevushal Wine	Hard	Multiple Choice		Which description best defines wine becoming mevushal?	It is warmed to room temperature	It is heated enough that evaporation begins and the volume slightly decreases	It is mixed with honey	It is sealed with two seals	B	It is heated enough that evaporation begins and the volume slightly decreases	"Mevushal requires meaningful heating, not just mild warming."
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Pasteurized Wine	Hard	Multiple Choice		Why does RSZA question whether flash pasteurization counts as mevushal?	It is always done by non-Jews	It makes the wine stronger	It may not evaporate or change taste in the normal way	It adds honey and pepper	C	It may not evaporate or change taste in the normal way	RSZA focuses on the lack of normal evaporation and taste change.
8	Week 8 - Stam Yeinam for the Sick and Mevushal Wine	Pasteurized Wine	Hard	Multiple Choice		What is the practical halacha about pasteurized wine?	Everyone agrees it is not mevushal	Everyone agrees it is always mevushal	It is mevushal only if frozen first	There is a dispute whether it counts as mevushal	D	There is a dispute whether it counts as mevushal	"Rav Moshe and Rav Ovadya are lenient, while RSZA and Rav Elyashiv are stricter."
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Wine Mixtures	Easy	True/False	y	Wine that already became forbidden before being mixed does not become permitted just because it is later mixed with other ingredients.	TRUE	FALSE			A	TRUE	"Once the wine is already assur, later mixing does not undo the prohibition."
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Wine Mixtures	Easy	True/False	y	"If Jewish-owned wine is mixed with ingredients that change its taste, it may remain permitted if a non-Jew later touches it."	TRUE	FALSE			A	TRUE	A changed wine mixture is no longer treated as regular wine for this gezeirah.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Wine Mixtures	Easy	True/False	y	Wine mixed into food and no longer discernible remains permitted if a non-Jew touches the food.	TRUE	FALSE			A	TRUE	"When the wine is absorbed into the dish, the touch is not treated like touching wine."
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Salad Dressing	Easy	True/False	y	"If wine separates to the top of a dressing and its flavor did not change, a non-Jew touching that wine can prohibit it."	TRUE	FALSE			A	TRUE	"Visible, unchanged wine is still treated as wine."
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Frozen Wine	Easy	True/False	y	Frozen wine touched by a non-Jew is permitted according to the Rama.	TRUE	FALSE			A	TRUE	Congealed or frozen wine is not treated like ordinary liquid wine at the moment of touch.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Wine Mixtures	Easy	True/False		Wine touched by a non-Jew before it was added to chocolate becomes permitted once mixed into the chocolate.	TRUE	FALSE			B	FALSE	Wine already prohibited remains prohibited even if mixed afterward.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Mevushal Mixtures	Easy	True/False		Non-mevushal wine mixed into mevushal wine can never be permitted if touched by a non-Jew.	TRUE	FALSE			B	FALSE	The Rama discusses permitting when the mevushal wine is enough to nullify the non-mevushal wine.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Sherry Cask Concerns	Easy	True/False	y	Sherry cask whiskey raises no bitul question because barrels do not absorb wine.	TRUE	FALSE			B	FALSE	The whole concern is the wine flavor absorbed in the barrel walls.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Wine Mixtures	Medium	Multiple Choice	y	What is the key reason wine mixed with honey and pepper may remain permitted after a non-Jew touches it?	The wine flavor changed	Honey is always mevushal	Pepper creates shishim	The non-Jew touched only a kli	A	The wine flavor changed	Changing the taste removes the mixture from the normal wine gezeirah.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Wine Mixtures	Medium	Multiple Choice		A cake batter contains wine and a non-Jew touches the batter after it is fully mixed. What is the best answer?	It is assur b'hanaah	It is permitted	It is forbidden until baked	It is permitted only if the non-Jew is a child	B	It is permitted	The wine is mixed into food and its flavor is changed by the other ingredients.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Salad Dressing	Medium	Multiple Choice	y	A salad dressing contains wine that has separated and is visible on top. What factor could still permit it?	The dressing is cold	The bowl is glass	The wine flavor was changed by the other ingredients	The non-Jew used a spoon	C	The wine flavor was changed by the other ingredients	Visible wine is a problem unless the taste has changed enough that it is not regular wine.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Frozen Wine	Medium	Multiple Choice		"A non-Jew touched frozen wine cubes, and later they melted. What should be remembered?"	The wine stays permitted forever even after new touching	The freezing makes it mevushal	The wine becomes assur b'hanaah immediately	"The touch while frozen is permitted, but once melted it regains wine status for future touches"	D	"The touch while frozen is permitted, but once melted it regains wine status for future touches"	The leniency applies to the frozen state; melted wine is ordinary wine again.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Pottery Jugs	Medium	Multiple Choice		A pottery shard from a non-kosher winery absorbed stam yeinam and can release wine when soaked. May it be used to fix a wobbly bed?	"No, that is benefit from absorbed stam yeinam"	"Yes, because it is only a shard"	"Yes, because the wine is dry"	"Yes, if the bed is not used for eating"	A	"No, that is benefit from absorbed stam yeinam"	The absorbed wine can make even benefit from the pottery prohibited.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Mevushal Mixtures	Medium	Multiple Choice	y	Non-mevushal wine was mixed into mevushal wine and then touched by a non-Jew. What ratio is one basis for leniency?	One part mevushal to one part non-mevushal	One part non-mevushal to six parts mevushal	Any drop of mevushal is enough	Only shishim against all wine	B	One part non-mevushal to six parts mevushal	The Rama connects this to the one-to-six framework used for diluted wine.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Sherry Cask Concerns	Medium	Multiple Choice	y	"According to the stricter concern of the Shach, what amount may be needed against absorbed wine in a sherry cask?"	Only a drop of whiskey	A majority of bourbon barrels	Shishim against the thickness of the barrel walls	One part water	C	Shishim against the thickness of the barrel walls	The Shach's approach makes bitul much harder because the whole wall thickness may count.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Sherry Cask Concerns	Medium	Multiple Choice	y	Why is sherry flavor in whiskey harder to nullify than an accidental mixture?	It is always cold	It is always less than one percent	It is never tasted	It is intentionally used for flavor	D	It is intentionally used for flavor	A forbidden ingredient added for taste may not be batel even in very large amounts.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Sherry Cask Concerns	Hard	Multiple Choice		Why might even a one-to-six bitul approach fail in a first-fill sherry cask?	The wine is always mevushal	The barrel may not hold six times the absorbed wall volume	The whiskey is not sharp	The cask has no wood	B	The barrel may not hold six times the absorbed wall volume	"If the entire wall thickness counts, there may not be enough whiskey for bitul."
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Sherry Cask Concerns	Hard	Multiple Choice		A company chooses sherry casks specifically to darken the whiskey. Which rule creates a concern?	Dark liquids are always pareve	Color only matters for meat and milk	Ingredients added for color are not batel	Wine color disappears after 24 hours	C	Ingredients added for color are not batel	Coloring agents can remain significant even when the amount is small.
9	Week 9 - Wine Mixtures and Sherry Cask Concerns	Wine Mixtures	Hard	Multiple Choice		Which case is most clearly permitted after a non-Jew touches it?	Visible unchanged wine floating on dressing	Wine touched before entering chocolate	A shard that releases stam yeinam when soaked	Wine already blended into cake batter	D	Wine already blended into cake batter	Wine blended into food with changed taste is no longer treated as ordinary wine.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Sherry Cask Leniencies	Easy	True/False	y	Rav Moshe discusses wine added to whiskey and allows bitul in a ratio of one to six according to the S.A. and Taz.	TRUE	FALSE			A	TRUE	He treats stam yeinam in whiskey more leniently than a standard shishim case.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Second-Fill Casks	Easy	True/False	y	A second-fill sherry cask is generally more lenient than a first-fill sherry cask.	TRUE	FALSE			A	TRUE	"After enough time and prior use, the original sherry flavor is much weaker or gone."
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Second-Fill Casks	Easy	True/False	y	A label that proudly says first-fill sherry cask usually points to a stricter concern.	TRUE	FALSE			A	TRUE	First-fill means the cask more recently held sherry and has stronger absorbed wine flavor.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Sherry Flavor	Easy	True/False		"According to Rav Moshe, any noticeable wine flavor is automatically too strong to be batel."	TRUE	FALSE			B	FALSE	Rav Moshe allows weak flavor to be batel even if somewhat noticeable.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Coloring	Easy	True/False		The Minchas Yitzchak says the rule of color not being batel applies the same way to rabbinic prohibitions like stam yeinam.	TRUE	FALSE			B	FALSE	He limits that color concern to biblical prohibitions.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Bitul Lechatchilla	Easy	True/False		There is no room to be lenient with bitul lechatchilla when the product is made mainly for non-Jewish customers.	TRUE	FALSE			B	FALSE	One leniency is that the producer is not nullifying the issur for Jews.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Grappa and Brandy	Easy	True/False	y	Brandy is made by distilling wine or other fermented fruit juices.	TRUE	FALSE			A	TRUE	Brandy concentrates the alcohol from wine or fruit wine through distillation.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Grappa and Brandy	Easy	True/False	y	Grappa and brandy made by non-Jews do not need a hechsher because distillation removes all wine issues.	TRUE	FALSE			B	FALSE	The vapor or grape remains can keep the halachic status of the original wine material.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Second-Fill Casks	Medium	Multiple Choice		Why may a second-fill sherry cask be permitted even according to a stricter approach?	The barrel may not have held wine for twelve months	The whiskey becomes grape juice	The second fill is always cooked	The label creates bitul	A	The barrel may not have held wine for twelve months	"After twelve months, the absorbed non-kosher wine flavor can lose its forbidden status."
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Sherry Flavor	Medium	Multiple Choice		How does Rav Moshe answer the concern that sherry is added for flavor?	Flavor is never relevant in halacha	Only strong flavor prevents bitul; weak flavor can still be batel	Whiskey cannot absorb any taste	Wine flavor is always pagum in every case	B	Only strong flavor prevents bitul; weak flavor can still be batel	A weak contribution of flavor may not be significant enough to prevent bitul.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Sherry Flavor	Medium	Multiple Choice		How does the Mishnah Halachos explain the role of sherry in the cask?	It turns the whiskey into wine	It creates six parts water	It prevents bad wood flavor from entering rather than directly flavoring the whiskey	It makes the barrel new	C	It prevents bad wood flavor from entering rather than directly flavoring the whiskey	"On that approach, the sherry is not viewed as the flavoring ingredient in the whiskey."
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Bitul Lechatchilla	Medium	Multiple Choice	y	Why may bitul lechatchilla be less of a concern for ordinary whiskey companies?	They ask every Jew to rely on bitul	They use only Jewish-owned wine	They never use barrels	They produce mainly for non-Jewish customers	D	They produce mainly for non-Jewish customers	The nullification is not being done specifically for Jewish consumers.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Sherry Cask Leniencies	Medium	Multiple Choice	y	What is the practical difference between blended whiskey with a small amount of wine and sherry cask whiskey?	"Added wine may have clear one-to-six bitul, while barrel absorption is harder to measure"	Blended whiskey is always grape juice	Sherry casks are always mevushal	There is no difference at all	A	"Added wine may have clear one-to-six bitul, while barrel absorption is harder to measure"	Actual added wine can be compared to the whiskey volume more directly than absorbed barrel flavor.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Hamshacha	Medium	Multiple Choice	y	When does grape juice become halachic wine for these laws?	When grapes are first picked	When juice is intentionally separated from the skins and seeds	Only after bottling	Only after kiddush is made	B	When juice is intentionally separated from the skins and seeds	Hamshacha begins when the juice is drawn away from the grape solids.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Hamshacha	Medium	Multiple Choice	y	Workers crush grapes and remove a little juice only to test sweetness in a lab. Why is that more lenient?	Testing juice is always mevushal	The workers are standing	"The separation is only for testing, not to begin winemaking"	The juice is automatically six-to-one	C	"The separation is only for testing, not to begin winemaking"	A lab sample is not considered the start of separating the wine from the solids.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Grappa and Brandy	Medium	Multiple Choice		What is the basic difference between grappa and brandy?	Brandy is barley beer; grappa is honey water	Brandy is frozen wine; grappa is pasteurized wine	There is no halachic difference	"Brandy is distilled wine; grappa is distilled grape skins, seeds, and stems left from wine"	D	"Brandy is distilled wine; grappa is distilled grape skins, seeds, and stems left from wine"	The two drinks come from different grape-based materials but both raise wine concerns.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Sherry Cask Leniencies	Hard	Multiple Choice		A person asks if he may serve whiskey that contains a small amount of actual red wine. What is a key lenient point?	There may be six times more whiskey than wine	Red wine is not wine	The bottle is sealed	The whiskey is served at a simcha	A	There may be six times more whiskey than wine	The added wine can be batel when the whiskey is at least six times its volume.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Sherry Cask Leniencies	Hard	Multiple Choice		Which bottle should raise more concern in the sherry cask discussion?	A bottle aged in refill sherry casks	A bottle advertised as first-fill sherry cask	A bottle with no sherry claim	A bourbon barrel bottle	B	A bottle advertised as first-fill sherry cask	First-fill suggests fresher and stronger sherry absorption.
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Hamshacha	Hard	Multiple Choice	y	A non-Jew stomps grapes in a gat where the juice flows away. What is the concern?	The grapes become bishul akum	The seeds become dairy	"He may touch juice after hamshacha, forbidding the mixture"	The wine becomes mevushal	C	"He may touch juice after hamshacha, forbidding the mixture"	"A gat allows juice to separate, so touching after hamshacha becomes a real issue."
10	"Week 10 - Sherry Cask Leniencies, Hamshacha, Grappa and Brandy"	Grappa and Brandy	Hard	Multiple Choice		Properly kosher brandy or grappa was later touched by a non-Jew. Why may it remain permitted?	It is owned by a non-Jew	It is never made from grapes	It is always diluted with milk	It is mevushal through distillation and its flavor is very different from wine	D	It is mevushal through distillation and its flavor is very different from wine	"After proper production, the drink is no longer ordinary non-mevushal wine."
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Easy	True/False	y	The prohibition of drinking beer with non-Jews is connected to concern for intermarriage.	TRUE	FALSE			A	TRUE	The gezeirah is meant to prevent social closeness that can lead to intermarriage.
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Easy	True/False	y	"The beer prohibition was a later and more limited practice than the formal gezeiros of pas akum, bishul akum, and stam yeinam."	TRUE	FALSE			A	TRUE	That is why its rules have more built-in leniencies.
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Easy	True/False	y	"Tosfos allows ordering beer from elsewhere when lodging in a non-Jew's inn, because it is like your temporary home."	TRUE	FALSE			A	TRUE	The inn can be considered the Jew's lodging place for this leniency.
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Easy	True/False	y	"According to the S.A., the main prohibition applies when the drink is consumed at the non-Jewish establishment."	TRUE	FALSE			A	TRUE	The concern is drinking in the social setting of the seller or host.
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Easy	True/False	y	The Rama limits the prohibition mainly to date beer.	TRUE	FALSE			A	TRUE	He follows the view that only the original common drink was included.
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Easy	True/False		The Gra fully accepts the Rama's leniency for ordinary beer.	TRUE	FALSE			B	FALSE	The Gra rejects the Rama's leniency and treats common beers more strictly.
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Easy	True/False		"According to the S.A. as explained by the Kaf HaChaim, permanent drinking in a non-Jewish establishment is permitted if it happens only once."	TRUE	FALSE			B	FALSE	Permanent drinking there is forbidden even once.
11	Week 11 - Drinking and Parties with Non-Jews	Parties with Non-Jews	Easy	True/False		A non-Jewish wedding meal is permitted if the host ordered kosher food.	TRUE	FALSE			B	FALSE	The S.A. prohibits eating even kosher food at a non-Jewish wedding feast.
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Medium	Multiple Choice	y	"Why can beer sometimes be permitted outside the non-Jewish setting, unlike stam yeinam?"	The beer restriction was more limited from the beginning	Beer is always mevushal	Beer has no social concern	Beer is never alcoholic	A	The beer restriction was more limited from the beginning	It was not enacted with the same full structure as stam yeinam.
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Medium	Multiple Choice		"According to the Kaf HaChaim's reading of the S.A., which two conditions help permit drinking beer in a non-Jewish location?"	Hot and sweet	Non-permanent and not consistent	Mevushal and sealed	Owned by a Jew and red	B	Non-permanent and not consistent	Casual and infrequent drinking is not the fixed social drinking Chazal were concerned about.
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Medium	Multiple Choice	y	A traveler wants a beer in his hotel room. What is the S.A.-based answer?	He may only drink it in the hotel bar	He may not drink beer anywhere on the trip	He may order it to his room	He may drink only date beer	C	He may order it to his room	"The room is treated like his temporary home, not the public non-Jewish drinking place."
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Medium	Multiple Choice		"A traveler wants to sit alone in the hotel bar with a beer. According to the stricter S.A./Bach approach, what is the issue?"	Beer is chametz after Pesach	Sitting alone creates bishul akum	The glass needs tevilah first	The non-Jewish establishment itself is the problem	D	The non-Jewish establishment itself is the problem	The concern applies even when he is alone in the non-Jewish drinking venue.
11	Week 11 - Drinking and Parties with Non-Jews	Business Drinking	Medium	Multiple Choice	y	"A non-Jewish client says, 'Let's grab a beer' after closing a deal. What leniency is sometimes relied upon?"	Avoiding animosity	The beer turns into water	A business deal makes it kiddush	All beer is grape juice	A	Avoiding animosity	Rav Moshe allows room for leniency when refusal may damage the relationship.
11	Week 11 - Drinking and Parties with Non-Jews	Public Venues	Medium	Multiple Choice		Why may a beer at a baseball game be more lenient according to the S.A. framework?	Sports stadiums are Jewish homes	It is casual and not a regular fixed drinking session	Beer at games is always non-alcoholic	The crowd makes it mevushal	B	It is casual and not a regular fixed drinking session	"Infrequent, non-permanent drinking is less like the prohibited social setting."
11	Week 11 - Drinking and Parties with Non-Jews	Coffee Shops	Medium	Multiple Choice		Why is coffee in a non-Jewish coffee shop discussed for Sephardim?	Coffee is made from grapes	Coffee is always date beer	Some understand the S.A. to include even prominent non-alcoholic drinks	The issue is only chalav Yisrael	C	Some understand the S.A. to include even prominent non-alcoholic drinks	"The Gra and others read the S.A. broadly, though others are lenient."
11	Week 11 - Drinking and Parties with Non-Jews	Parties with Non-Jews	Medium	Multiple Choice		What is Rav Moshe's approach to a company party for a non-Jewish workplace?	Always attend because it is not a wedding	Attend only if wine is served	It is permitted only outdoors	Avoid unless not attending would cause animosity	D	Avoid unless not attending would cause animosity	Rav Moshe is stringent about parties but allows a need to avoid animosity.
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Hard	Multiple Choice	y	"A bar has outdoor seating owned by the bar. According to the discussion, how is that treated?"	As part of the bar	Like the Jew's home	Like a public street outside the store	Like a hotel room	A	As part of the bar	Outdoor seating controlled by the bar remains part of the establishment.
11	Week 11 - Drinking and Parties with Non-Jews	Beer with Non-Jews	Hard	Multiple Choice		"Two Jews sit together in a non-Jewish bar with no non-Jews at the table. According to the Bach, what is the halacha?"	It is automatically permitted	It is still forbidden	It depends only on the brand of beer	It is permitted if they sit quietly	B	It is still forbidden	The Bach prohibits drinking in the non-Jewish establishment even without direct company.
11	Week 11 - Drinking and Parties with Non-Jews	Parties with Non-Jews	Hard	Multiple Choice		A non-Jewish coworker invites you to his wedding and orders kosher food. What is the core problem?	Kosher food becomes non-kosher by invitation	The wedding ring is a kli	Eating at the wedding feast itself is prohibited	Only dessert is prohibited	C	Eating at the wedding feast itself is prohibited	The prohibition applies to the feast even when the food itself is kosher.
11	Week 11 - Drinking and Parties with Non-Jews	Parties with Non-Jews	Hard	Multiple Choice		Why may a ger have more room to attend a non-Jewish parent's birthday party?	A ger is not Jewish for parties	Birthday cake is always mevushal	Family parties are always mitzvah meals	"Animosity, kibbud for biological parents, and weaker acceptance of this party prohibition"	D	"Animosity, kibbud for biological parents, and weaker acceptance of this party prohibition"	The cited teshuva combines several reasons for leniency in that specific family setting.
12	Week 12 - Individuals Who Prohibit Wine	Non-Jewish Children	Easy	True/False	y	"If a non-Jewish baby touches Jewish-owned wine, the wine is forbidden to drink but permitted for benefit."	TRUE	FALSE			A	TRUE	"There is an intermarriage concern for drinking, but no concern the baby performed libation."
12	Week 12 - Individuals Who Prohibit Wine	Muslims	Easy	True/False	y	"Wine touched by a Muslim may not be drunk, but one may benefit from it."	TRUE	FALSE			A	TRUE	There is concern for intermarriage but no concern for idolatrous libation.
12	Week 12 - Individuals Who Prohibit Wine	Safek Touch	Easy	True/False	y	"According to Rav Ovadya, if one is unsure whether a Muslim touched the wine, the wine may be drunk."	TRUE	FALSE			A	TRUE	"The remaining concern is rabbinic, so safek derabanan l'kula applies."
12	Week 12 - Individuals Who Prohibit Wine	Public Shabbos Violation	Easy	True/False	y	"To be considered a public Shabbos violator in the classic sense, the act must be done three times in front of at least ten people."	TRUE	FALSE			A	TRUE	The Rashba gives this standard for making the violation public.
12	Week 12 - Individuals Who Prohibit Wine	Public Shabbos Violation	Easy	True/False		Wine touched by a public Shabbos violator is forbidden for benefit according to the Shach.	TRUE	FALSE			B	FALSE	The Shach forbids drinking but permits benefit because there is no libation concern.
12	Week 12 - Individuals Who Prohibit Wine	Mumar	Easy	True/False		A mumar cannot forbid wine if he still has a bris milah.	TRUE	FALSE			B	FALSE	The S.A. says a mumar has the status of a non-Jew for this halacha even with a bris.
12	Week 12 - Individuals Who Prohibit Wine	Traditional Jews	Easy	True/False		All poskim agree that wine touched by a traditional Jew who recites kiddush is forbidden.	TRUE	FALSE			B	FALSE	"Rav Ovadya allows it based on the Binyan Tzion, though Rav Sternbuch is stricter."
12	Week 12 - Individuals Who Prohibit Wine	Non-Jewish Children	Medium	Multiple Choice	y	Why is wine touched by a non-Jewish baby permitted for benefit?	There is no concern that the baby performed libation	A baby cannot touch wine halachically	Baby touch is like mevushal	All child-touch is batel	A	There is no concern that the baby performed libation	"Benefit is tied to the libation concern, which does not apply to a baby."
